pred_len,baseline_overall_mse,expert_overall_mse,gated_overall_mse,baseline_event_mse,expert_event_mse,gated_event_mse,event_reduction_pct,overall_delta,overall_delta_pct,selected_reason,selected_epoch,event_weight,use_peak_shape_loss,selection_metric,overall_mse_tolerance,learning_rate,status,event_points,total_prediction_elements,event_ratio,baseline_non_event_mse,gated_non_event_mse,non_event_delta,non_event_delta_pct,expected_overall_delta_from_event,observed_overall_delta,delta_match_error,baseline_dir,expert_dir,gated_dir
96,0.3070307970046997,0.31012701988220215,0.30700984597206116,0.051323799171752074,0.025898627560507235,0.025898627560507235,49.53875594080828,-2.0951032638549805e-05,-0.006823756067124793,guarded_event_mse,3,5.0,True,guarded_event_mse,0.03,1e-05,guarded,6336,7677600,0.0008252578930915912,0.3072420060634613,0.3072420060634613,0.0,0.0,-2.0982323555388052e-05,-2.0951032638549805e-05,3.12909168382472e-08,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_myfram_gpt55_peak_only_baseline_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_myfram_gpt55_peak_only_finetune_generated_loss_guarded_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_myfram_gpt55_peak_only_gated_alpha_1p0_0
192,0.33950021862983704,0.35424482822418213,0.33947861194610596,0.06504825630568177,0.03903268322797065,0.03903268322797065,39.99426664944859,-2.16066837310791e-05,-0.006364262096289618,guarded_event_mse,4,5.0,True,guarded_event_mse,0.03,1e-05,guarded,12672,15226176,0.0008322509867218138,0.3397294878959656,0.3397294878959656,0.0,0.0,-2.1651486364058538e-05,-2.16066837310791e-05,4.480263297943626e-08,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl192_ettm1_gpt55_peak_transfer_p192_baseline_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl192_ettm1_gpt55_peak_transfer_p192_finetune_loss_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl192_ettm1_gpt55_peak_transfer_p192_gated_alpha_1p0_0
336,0.371104896068573,0.37090498208999634,0.3710764944553375,0.071749886737037,0.03809516323247515,0.03809516323247515,46.90561202961373,-2.8401613235473633e-05,-0.007653257484974158,guarded_event_mse,9,1.0,0,guarded_event_mse,0.03,1e-06,guarded,22176,26307120,0.0008429657066223897,0.3713575005531311,0.3713575005531311,0.0,0.0,-2.8369777780204126e-05,-2.8401613235473633e-05,-3.183545526950707e-08,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl336_ettm1_gpt55_peak_transfer_p336_baseline_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl336_ettm1_gpt55_peak_transfer_p336_strict_ew1_nopk_lr1e6_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl336_ettm1_gpt55_peak_transfer_p336_strict_gated_ew1_nopk_lr1e6_0
720,0.4319831132888794,0.42719435691833496,0.43194490671157837,0.21341172549053802,0.16958698311233805,0.16958698311233805,20.53530202122986,-3.820657730102539e-05,-0.008844460842494916,guarded_event_mse,1,1.0,0,guarded_event_mse,0.03,5e-07,guarded,47520,54437040,0.000872935045696827,0.4321751296520233,0.4321751296520233,0.0,0.0,-3.825615349056566e-05,-3.820657730102539e-05,4.95761895402726e-08,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl720_ettm1_gpt55_peak_transfer_p720_baseline_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl720_ettm1_gpt55_peak_transfer_p720_strict_ew1_nopk_lr5e7_0,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl720_ettm1_gpt55_peak_transfer_p720_strict_gated_ew1_nopk_lr5e7_0
